Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,Version,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PRE_Q15,PRE_Q15_SCORE,PRE_Q15CF,PRE_Q12,PRE_Q12_SCORE,PRE_Q12CF,PRE_Q13,PRE_Q13_SCORE,PRE_Q13CF,PRE_Q14,PRE_Q14_SCORE,PRE_Q14CF,PRE_Q26,PRE_Q26_SCORE,PRE_Q26CF,PRE_Q27,PRE_Q27_SCORE,PRE_Q27CF,PRE_Q23,PRE_Q23_SCORE,PRE_Q23CF,PRE_Q28,PRE_Q28_SCORE,PRE_Q28CF,PRE_Q19,PRE_Q19_SCORE,PRE_Q19CF,PRE_Q3,PRE_Q3_SCORE,PRE_Q3CF,PRE_Q16,PRE_Q16_SCORE,PRE_Q16CF,PRE_Q10,PRE_Q10_SCORE,PRE_Q10CF,PRE_Q11,PRE_Q11_SCORE,PRE_Q11CF,PRE_Q33,PRE_Q33_SCORE,PRE_Q33CF,PRE_Q34,PRE_Q34_SCORE,PRE_Q34CF,PRE_REPEAT,PRE_WHYREPEAT,PRE_WHYREPEAT_5_TEXT,PRE_FREQEN,PRE_CALC,PRE_DAILYM,PRE_DAILYG,PRE_ATT_DL_1,PRE_ATT_DL_2,PRE_ATT_DL_3,PRE_ATT_DL_4,PRE_ATT_DL_5,PRE_ATT_SC_1,PRE_ATT_SC_2,PRE_ATT_SC_3,PRE_ATT_SC_4,PRE_ATT_SC_5,PRE_LK1,PRE_LK2,PRE_LK5,PRE_ANX#1_1,PRE_ANX#1_2,PRE_ANX#1_3,PRE_ANX#1_4,PRE_WHYCS_1,PRE_WHYCS_2,PRE_WHYCS_3,PRE_WHYCS_4,PRE_WHYCS_5,PRE_WHYCS_6,PRE_WHYCS_7,PRE_WHYCS_7_TEXT,PRE_YEAR,PRE_YEAR_5_TEXT,PRE_MAJOR_NEW_1,PRE_MAJOR_NEW_2,PRE_MAJOR_NEW_3,PRE_MAJOR_NEW_4,PRE_MAJOR_NEW_5,PRE_MAJOR_NEW_6,PRE_MAJOR_NEW_7,PRE_MAJOR_NEW_8,PRE_MAJOR_NEW_9,PRE_MAJOR_NEW_10,PRE_MAJOR_NEW_10_TEXT,PRE_WHYMAJ_1,PRE_WHYMAJ_2,PRE_WHYMAJ_3,PRE_WHYMAJ_4,PRE_WHYMAJ_5,PRE_WHYMAJ_6,PRE_WHYMAJ_7,PRE_WHYMAJ_8,PRE_WHYMAJ_8_TEXT,PRE_AGE,PRE_GENDER,PRE_RACE_1,PRE_RACE_2,PRE_RACE_3,PRE_RACE_4,PRE_RACE_5,PRE_RACE_6,PRE_RACE_7,PRE_RACE_6_TEXT,PRE_DIS_1,PRE_DIS_2,PRE_DIS_3,PRE_DIS_4,PRE_DIS_1_TEXT,PRE_DIS_2_TEXT,PRE_DIS_3_TEXT,PRE_USEDU,PRE_ELEM_WHERE,PRE_MIDDLE_WHERE,PRE_HS_WHERE,PRE_EFFORT,SC0,PRE_TOTAL,PRE_PCT_TOTAL,PRE_GR_TOTAL,PRE_GR_MEAN,PRE_AR_TOTAL,PRE_AR_MEAN,PRE_PR_TOTAL,PRE_PR_MEAN,PRE_PC_TOTAL,PRE_PC_MEAN,PRE_SP_TOTAL,PRE_SP_MEAN,PRE_TR_TOTAL,PRE_TR_MEAN,PRE_AV_TOTAL,PRE_AV_MEAN,PRE_ER_MEAN,PRE_UD_TOTAL,PRE_UD_MEAN,PRE_ES_TOTAL,PRE_ES_MEAN,PRE_SELFEFF,PRE_MATHANX,PRE_MATHREL,PRE_CF_TOTAL,PRE_CF_TOTAL_CORR,PRE_CF_TOTAL_INCORR,PRE_CF_MEAN,PRE_CF_MEAN_CORR,PRE_CF_MEAN_INCORR,PRE_QCOMPLETE,PRE_COMPFLAG,PRE_EFFFLAG
100,89,1,8/28/18 18:04,R_sSdDrxW4Q2r4IP7,,Lt_2.0,,,,42.38960266,-72.45339966,anonymous,EN,1.0,0,1.0,5.0,0,2.0,3.0,0,4.0,4.0,1,4.0,1.0,0,4.0,2.0,0,2.0,1.0,0,3.0,4.0,0,3.0,3.0,0,4.0,2.0,1,1.0,3.0,0,4.0,2.0,1,3.0,3.0,0,3.0,4.0,0,4.0,3.0,0,4.0,2.0,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3,3.0,0.2,1.0,0.25,3.0,0.23076923076923078,3.0,0.2727272727272727,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.25,,0.0,0.0,1.0,0.2,,,,46.0,8.0,38.0,3.066666666666667,2.6666666666666665,3.1666666666666665,15,1,1.0
100,89,1,8/28/18 18:09,R_3et6nmjXxztiKGu,,Lt_2.0,,,,42.38960266,-72.45339966,anonymous,EN,3.0,1,3.0,2.0,0,3.0,2.0,1,2.0,2.0,0,3.0,3.0,0,1.0,2.0,0,3.0,4.0,1,4.0,2.0,1,3.0,3.0,0,4.0,3.0,0,4.0,3.0,0,3.0,4.0,0,4.0,3.0,0,4.0,3.0,1,2.0,3.0,0,2.0,2.0,,,1.0,5.0,2.0,3.0,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,1.0,,,5.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,6.0,2.0,,,1.0,,,,,,,,,,,,,,,,,4.0,5,5.0,0.3333333333333333,2.0,0.5,4.0,0.3076923076923077,5.0,0.45454545454545453,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.25,,0.0,0.0,2.0,0.4,,,,45.0,14.0,31.0,3.0,2.8,3.1,15,1,1.0
100,1140,1,9/3/18 19:21,R_21jiylaIBBnK7tX,,Lt_2.0,,,,37.50790405,-121.95989990000001,anonymous,EN,3.0,1,3.0,3.0,1,3.0,2.0,1,2.0,3.0,0,3.0,2.0,1,3.0,2.0,0,2.0,1.0,0,2.0,3.0,0,3.0,2.0,1,3.0,2.0,1,4.0,2.0,1,4.0,1.0,0,3.0,2.0,0,3.0,3.0,1,4.0,4.0,1,3.0,2.0,,,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,2.0,1.0,,,,,,1.0,,Middle-Eastern (White),1.0,1.0,1.0,,No,No,No,1.0,,,,5.0,9,9.0,0.6,3.0,0.75,7.0,0.5384615384615384,6.0,0.5454545454545454,1.0,0.5,0.0,0.0,1.0,0.3333333333333333,2.0,0.5,,1.0,1.0,4.0,0.8,,,,45.0,29.0,16.0,3.0,3.2222222222222223,2.6666666666666665,15,1,1.0
100,535,1,9/3/18 19:26,R_3oFyvym79vnTRd8,,Lt_2.0,,,,37.819793700000005,-122.3690033,anonymous,EN,1.0,0,1.0,3.0,1,2.0,1.0,0,2.0,5.0,0,1.0,2.0,1,1.0,2.0,0,1.0,2.0,0,1.0,4.0,0,2.0,4.0,0,1.0,3.0,0,1.0,2.0,1,2.0,4.0,0,2.0,1.0,1,1.0,4.0,0,1.0,3.0,0,1.0,2.0,,,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,4,4.0,0.26666666666666666,1.0,0.25,3.0,0.23076923076923078,3.0,0.2727272727272727,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.25,,1.0,1.0,2.0,0.4,,,,20.0,6.0,14.0,1.3333333333333333,1.5,1.2727272727272727,15,1,0.0
100,2555,1,9/3/18 20:19,R_x60M82LkZqLK2Zj,,Lt_2.0,,,,37.8309021,-122.21960449999999,anonymous,EN,2.0,0,3.0,3.0,1,3.0,2.0,1,3.0,3.0,0,2.0,2.0,1,4.0,4.0,0,2.0,1.0,0,3.0,2.0,1,3.0,2.0,1,3.0,2.0,1,3.0,2.0,1,3.0,2.0,1,3.0,2.0,0,2.0,3.0,1,3.0,4.0,1,3.0,2.0,,,4.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,4.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,3.0,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,5.0,10,10.0,0.6666666666666666,2.0,0.5,8.0,0.6153846153846154,7.0,0.6363636363636364,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,3.0,0.75,,1.0,1.0,3.0,0.6,,,,43.0,31.0,12.0,2.8666666666666667,3.1,2.4,15,1,1.0
100,1183,1,9/3/18 21:23,R_bEfWCBsgiFEEiyZ,,Lt_2.0,,,,37.54020691,-122.3041,anonymous,EN,3.0,1,3.0,3.0,1,3.0,2.0,1,2.0,3.0,0,2.0,2.0,1,4.0,4.0,0,2.0,4.0,1,2.0,2.0,1,3.0,2.0,1,3.0,2.0,1,3.0,2.0,1,3.0,2.0,1,2.0,1.0,1,2.0,3.0,1,3.0,4.0,1,3.0,2.0,,,5.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,2.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,5.0,13,13.0,0.8666666666666667,3.0,0.75,11.0,0.8461538461538461,10.0,0.9090909090909091,1.0,0.5,2.0,0.6666666666666666,2.0,0.6666666666666666,4.0,1.0,,1.0,1.0,4.0,0.8,,,,40.0,36.0,4.0,2.6666666666666665,2.769230769230769,2.0,15,1,1.0
100,885,1,9/3/18 21:45,R_3EXQUEpRTRRVyqO,,Lt_2.0,,,,37.76069641,-122.48419950000002,anonymous,EN,3.0,1,4.0,3.0,1,4.0,2.0,1,3.0,3.0,0,3.0,2.0,1,4.0,3.0,1,4.0,4.0,1,3.0,2.0,1,4.0,2.0,1,4.0,2.0,1,4.0,2.0,1,4.0,2.0,1,4.0,1.0,1,4.0,3.0,1,4.0,4.0,1,4.0,2.0,,,4.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,3.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,5.0,14,14.0,0.9333333333333333,3.0,0.75,12.0,0.9230769230769231,10.0,0.9090909090909091,2.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,,1.0,1.0,4.0,0.8,,,,57.0,54.0,3.0,3.8,3.857142857142857,3.0,15,1,1.0
100,1112,1,9/4/18 0:17,R_2yfs2dSwTXKLMLQ,,Lt_2.0,,,,37.76069641,-122.48419950000002,anonymous,EN,3.0,1,4.0,3.0,1,4.0,2.0,1,4.0,4.0,1,4.0,2.0,1,4.0,3.0,1,4.0,4.0,1,4.0,2.0,1,3.0,2.0,1,3.0,2.0,1,4.0,2.0,1,4.0,2.0,1,4.0,1.0,1,4.0,3.0,1,4.0,4.0,1,4.0,2.0,,,4.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,,5.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,3.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,5.0,15,15.0,1.0,4.0,1.0,13.0,1.0,11.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,,1.0,1.0,5.0,1.0,,,,58.0,58.0,0.0,3.8666666666666667,3.8666666666666667,0.0,15,1,1.0
100,748,1,9/4/18 0:17,R_1mPJmbaDvyfkZru,,Lt_2.0,,,,37.73530579,-122.37319950000001,anonymous,EN,3.0,1,3.0,3.0,1,3.0,2.0,1,2.0,3.0,0,1.0,2.0,1,3.0,1.0,0,3.0,3.0,0,2.0,2.0,1,4.0,2.0,1,3.0,3.0,0,4.0,2.0,1,3.0,2.0,1,3.0,1.0,1,2.0,3.0,1,3.0,3.0,0,2.0,2.0,,,1.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,,,,,,,,3.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,3.0,10,10.0,0.6666666666666666,3.0,0.75,8.0,0.6153846153846154,8.0,0.7272727272727273,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,3.0,0.75,,1.0,1.0,4.0,0.8,,,,41.0,29.0,12.0,2.7333333333333334,2.9,2.4,15,1,0.5
100,7561,1,9/4/18 0:35,R_sjILltw4LCzBnkB,,Lt_2.0,,,,37.77349854,-122.278801,anonymous,EN,3.0,1,4.0,3.0,1,4.0,2.0,1,3.0,4.0,1,3.0,2.0,1,4.0,3.0,1,4.0,3.0,0,3.0,2.0,1,4.0,2.0,1,4.0,2.0,1,4.0,2.0,1,4.0,2.0,1,4.0,1.0,1,4.0,3.0,1,4.0,4.0,1,4.0,2.0,,,1.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,,,,2.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,2.0,USA + 3 years in China,USA,USA,5.0,14,14.0,0.9333333333333333,4.0,1.0,12.0,0.9230769230769231,10.0,0.9090909090909091,2.0,1.0,2.0,0.6666666666666666,2.0,0.6666666666666666,4.0,1.0,,1.0,1.0,5.0,1.0,,,,57.0,54.0,3.0,3.8,3.857142857142857,3.0,15,1,1.0
